Date,KPIF,reporate
1/1/1995,2.75,7.6000
2/1/1995,2.83,7.7075
3/1/1995,2.81,8.0696
4/1/1995,2.92,8.3361
5/1/1995,2.96,8.4100
6/1/1995,2.88,8.6225
7/1/1995,2.79,8.8862
8/1/1995,2.68,8.9100
9/1/1995,2.39,8.9100
10/1/1995,2.58,8.9100
11/1/1995,2.65,8.9100
12/1/1995,2.60,8.9100
1/1/1996,1.75,8.7186
2/1/1996,1.47,8.3405
3/1/1996,1.56,7.7548
4/1/1996,1.31,7.1500
5/1/1996,1.06,6.6700
6/1/1996,1.04,6.2474
7/1/1996,0.88,5.8152
8/1/1996,0.66,5.4409
9/1/1996,0.25,5.1643
10/1/1996,0.03,4.9239
11/1/1996,-0.05,4.5643
12/1/1996,0.12,4.2528
1/1/1997,0.69,4.1000
2/1/1997,0.53,4.1000
3/1/1997,0.53,4.1000
4/1/1997,0.93,4.1000
5/1/1997,1.03,4.1000
6/1/1997,1.36,4.1000
7/1/1997,1.23,4.1000
8/1/1997,1.57,4.1000
9/1/1997,2.34,4.1000
10/1/1997,2.43,4.1000
11/1/1997,2.47,4.1000
12/1/1997,2.52,4.2053
1/1/1998,1.77,4.3500
2/1/1998,1.73,4.3500
3/1/1998,1.54,4.3500
4/1/1998,1.26,4.3500
5/1/1998,1.45,4.3500
6/1/1998,1.10,4.1625
7/1/1998,1.27,4.1000
8/1/1998,0.89,4.1000
9/1/1998,0.28,4.1000
10/1/1998,0.31,4.1000
11/1/1998,0.27,3.8262
12/1/1998,0.33,3.5100
1/1/1999,1.15,3.4000
2/1/1999,1.26,3.3000
3/1/1999,1.38,3.1391
4/1/1999,1.37,2.9000
5/1/1999,1.27,2.9000
6/1/1999,1.61,2.9000
7/1/1999,1.27,2.9000
8/1/1999,1.58,2.9000
9/1/1999,1.82,2.9000
10/1/1999,1.75,2.9000
11/1/1999,1.68,3.0591
12/1/1999,1.68,3.2500
1/1/2000,0.53,3.2500
2/1/2000,0.61,3.6071
3/1/2000,0.52,3.7500
4/1/2000,0.37,3.7500
5/1/2000,0.48,3.7500
6/1/2000,0.16,3.7500
7/1/2000,0.22,3.7500
8/1/2000,0.50,3.7500
9/1/2000,0.27,3.7500
10/1/2000,0.34,3.7500
11/1/2000,0.62,3.7500
12/1/2000,0.70,3.8947
1/1/2001,0.99,4.0000
2/1/2001,1.04,4.0000
3/1/2001,1.54,4.0000
4/1/2001,1.95,4.0000
5/1/2001,2.07,4.0000
6/1/2001,2.24,4.0000
7/1/2001,2.24,4.1705
8/1/2001,2.29,4.2500
9/1/2001,2.49,4.0500
10/1/2001,2.55,3.7500
11/1/2001,2.59,3.7500
12/1/2001,2.65,3.7500
1/1/2002,2.87,3.7500
2/1/2002,2.88,3.7500
3/1/2002,2.77,3.8375
4/1/2002,2.36,4.0000
5/1/2002,2.17,4.2500
6/1/2002,2.14,4.2500
7/1/2002,2.16,4.2500
8/1/2002,2.00,4.2500
9/1/2002,2.00,4.2500
10/1/2002,2.04,4.2500
11/1/2002,1.81,4.1548
12/1/2002,1.76,3.8472
1/1/2003,1.76,3.7500
2/1/2003,1.92,3.7500
3/1/2003,1.81,3.6429
4/1/2003,1.82,3.5000
5/1/2003,1.52,3.5000
6/1/2003,1.46,3.1579
7/1/2003,1.64,2.8152
8/1/2003,1.52,2.7500
9/1/2003,1.74,2.7500
10/1/2003,1.39,2.7500
11/1/2003,1.27,2.7500
12/1/2003,1.21,2.7500
1/1/2004,1.15,2.7500
2/1/2004,0.75,2.5875
3/1/2004,0.83,2.5000
4/1/2004,0.94,2.1000
5/1/2004,1.05,2.0000
6/1/2004,0.99,2.0000
7/1/2004,0.85,2.0000
8/1/2004,0.84,2.0000
9/1/2004,0.75,2.0000
10/1/2004,0.89,2.0000
11/1/2004,0.79,2.0000
12/1/2004,0.84,2.0000
1/1/2005,0.71,2.0000
2/1/2005,1.16,2.0000
3/1/2005,0.59,2.0000
4/1/2005,0.35,2.0000
5/1/2005,0.44,2.0000
6/1/2005,0.46,1.8500
