LogRooms, LogIncome, LogPeople, ElHeat, SheOnly, PeakHeat, CookEl, PoolFilt, AirRev, AirCond, MWave, Dish, Dryer, ElecCost
1.94591014905531,10.3056137593788,1.38629436111989,0,0,0,1,0,1,1,0,0,0,545
1.94591014905531,9.36734412078585,0.693147180559945,0,0,0,1,0,0,0,1,1,0,389
2.07944154167984,9.73506890091116,0.693147180559945,1,0,0,0,0,0,1,0,0,0,390
1.94591014905531,9.18502256399189,0.693147180559945,0,1,0,1,0,1,1,0,0,1,268
1.79175946922805,10.1145585226161,0.693147180559945,0,1,0,0,0,1,1,1,0,1,543
1.79175946922805,9.04192172035122,1.09861228866811,0,1,0,0,0,0,0,0,0,1,278
1.79175946922805,10.1145585226161,1.38629436111989,0,1,0,1,0,0,0,0,0,0,190
2.19722457733622,9.04192172035122,0.693147180559945,0,1,0,0,0,0,1,0,0,0,205
1.79175946922805,9.73506890091116,0.693147180559945,1,0,0,0,0,1,1,0,0,0,127
1.79175946922805,9.73506890091116,1.38629436111989,1,0,0,1,0,1,1,0,0,0,349
1.79175946922805,9.04192172035122,0.693147180559945,0,0,0,1,0,0,0,0,0,0,371
1.6094379124341,10.6964800680658,0,0,0,1,1,0,0,0,1,0,1,338
1.94591014905531,10.0033328875058,1.38629436111989,0,0,0,1,0,0,0,1,0,0,297
2.07944154167984,9.87816974455184,1.6094379124341,0,1,0,1,0,1,1,0,0,1,391
1.79175946922805,9.04192172035122,0.693147180559945,0,1,0,0,0,0,0,0,0,0,70
1.79175946922805,9.04192172035122,0.693147180559945,1,0,0,0,0,0,0,0,0,0,214
1.94591014905531,9.04192172035122,0.693147180559945,0,1,0,1,0,1,1,0,1,0,300
2.19722457733622,10.3056137593788,0.693147180559945,0,1,0,1,0,0,1,0,1,1,681
1.79175946922805,10.2146419811731,1.09861228866811,0,0,0,1,0,0,1,0,1,1,319
1.94591014905531,9.73506890091116,0.693147180559945,0,1,1,1,0,1,1,0,0,1,780
1.79175946922805,10.4282160814711,0.693147180559945,0,1,0,0,0,0,0,0,0,1,389
1.79175946922805,10.4282160814711,0.693147180559945,1,0,0,0,0,0,0,0,0,0,155
1.94591014905531,10.807705703176,0.693147180559945,0,1,0,1,0,0,0,0,1,1,662
2.19722457733622,9.87816974455184,1.38629436111989,0,1,1,1,0,1,1,1,1,1,1217
1.79175946922805,9.568014816248,1.6094379124341,1,0,0,0,0,1,1,0,0,0,496
1.79175946922805,9.04192172035122,0.693147180559945,0,0,0,0,0,0,1,0,0,0,62
1.79175946922805,9.87816974455184,0.693147180559945,1,0,0,0,0,1,1,0,0,0,233
2.07944154167984,11.0020998412042,0.693147180559945,0,0,0,1,0,1,1,0,0,1,750
1.79175946922805,9.36734412078585,0.693147180559945,0,1,0,0,0,1,1,0,0,0,186
1.94591014905531,11.0020998412042,0.693147180559945,1,0,0,1,0,0,0,1,1,1,436
