Rank,Discipline,YrsSincePhD,YrsService,Sex,Salary,LogSalary,PhdAge,PhdAgeSqr,Rank2,Rank3,Sex,Discipline
Prof,B,19,18,Male,139750,11.847610391017346,0.3392857142857143,0.11511479591836736,false,true,true,false
Prof,B,20,16,Male,173200,12.062202275110472,0.35714285714285715,0.12755102040816327,false,true,true,false
AsstProf,B,4,3,Male,79750,11.286652020647091,0.07142857142857142,0.00510204081632653,false,false,true,false
Prof,B,45,39,Male,115000,11.652687407345388,0.8035714285714286,0.6457270408163266,false,true,true,false
Prof,B,40,41,Male,141500,11.86005499606543,0.7142857142857143,0.5102040816326531,false,true,true,false
AssocProf,B,6,6,Male,97000,11.48246625748552,0.10714285714285714,0.011479591836734693,true,false,true,false
Prof,B,30,23,Male,175000,12.072541252905651,0.5357142857142857,0.2869897959183673,false,true,true,false
Prof,B,45,45,Male,147765,11.90337845295789,0.8035714285714286,0.6457270408163266,false,true,true,false
Prof,B,21,20,Male,119250,11.688977408750588,0.375,0.140625,false,true,true,false
Prof,B,18,18,Female,129000,11.76756768334381,0.32142857142857145,0.10331632653061226,false,true,false,false
AssocProf,B,12,8,Male,119800,11.693578964663486,0.21428571428571427,0.04591836734693877,true,false,true,false
AsstProf,B,7,2,Male,79800,11.2872787834379,0.125,0.015625,false,false,true,false
AsstProf,B,1,1,Male,77700,11.260610536355738,0.017857142857142856,0.00031887755102040814,false,false,true,false
AsstProf,B,2,0,Male,78000,11.26446410567173,0.03571428571428571,0.0012755102040816326,false,false,true,false
Prof,B,20,18,Male,104800,11.55980905086908,0.35714285714285715,0.12755102040816327,false,true,true,false
Prof,B,12,3,Male,117150,11.671210443935943,0.21428571428571427,0.04591836734693877,false,true,true,false
Prof,B,19,20,Male,101000,11.522875795823397,0.3392857142857143,0.11511479591836736,false,true,true,false
Prof,A,38,34,Male,103450,11.54684368317369,0.6785714285714286,0.46045918367346944,false,true,true,true
Prof,A,37,23,Male,124750,11.734067013613766,0.6607142857142857,0.43654336734693877,false,true,true,true
Prof,A,39,36,Female,137000,11.827736204810263,0.6964285714285714,0.4850127551020408,false,true,false,true
Prof,A,31,26,Male,89565,11.402719897649202,0.5535714285714286,0.3064413265306123,false,true,true,true
Prof,A,36,31,Male,102580,11.538398260943259,0.6428571428571429,0.41326530612244905,false,true,true,true
Prof,A,34,30,Male,93904,11.450028262798115,0.6071428571428571,0.3686224489795918,false,true,true,true
Prof,A,24,19,Male,113068,11.635744686615075,0.42857142857142855,0.18367346938775508,false,true,true,true
AssocProf,A,13,8,Female,74830,11.222974153074404,0.23214285714285715,0.05389030612244898,true,false,false,true
Prof,A,21,8,Male,106294,11.573964118710675,0.375,0.140625,false,true,true,true
Prof,A,35,23,Male,134885,11.812177842536745,0.625,0.390625,false,true,true,true
AsstProf,B,5,3,Male,82379,11.319085829047738,0.08928571428571429,0.007971938775510204,false,false,true,false
AsstProf,B,11,0,Male,77000,11.251560700835821,0.19642857142857142,0.038584183673469385,false,false,true,false
Prof,B,12,8,Male,118223,11.680327950473234,0.21428571428571427,0.04591836734693877,false,true,true,false
Prof,B,20,4,Male,132261,11.792532522065033,0.35714285714285715,0.12755102040816327,false,true,true,false
AsstProf,B,7,2,Male,79916,11.28873136201984,0.125,0.015625,false,false,true,false
Prof,B,13,9,Male,117256,11.672114857707136,0.23214285714285715,0.05389030612244898,false,true,true,false
AsstProf,B,4,2,Male,80225,11.292590465978058,0.07142857142857142,0.00510204081632653,false,false,true,false
AsstProf,B,4,2,Female,80225,11.292590465978058,0.07142857142857142,0.00510204081632653,false,false,false,false
AsstProf,B,5,0,Female,77000,11.251560700835821,0.08928571428571429,0.007971938775510204,false,false,false,false
Prof,B,22,21,Male,155750,11.9560074366497,0.39285714285714285,0.15433673469387754,false,true,true,false
AsstProf,B,7,4,Male,86373,11.366430405953848,0.125,0.015625,false,false,true,false
Prof,B,41,31,Male,125196,11.73763578825597,0.7321428571428571,0.536033163265306,false,true,true,false
AssocProf,B,9,9,Male,100938,11.522261745947215,0.16071428571428573,0.025829081632653066,true,false,true,false
Prof,B,23,2,Male,146500,11.894780707439258,0.4107142857142857,0.1686862244897959,false,true,true,false
AssocProf,B,23,23,Male,93418,11.444839325135002,0.4107142857142857,0.1686862244897959,true,false,true,false
Prof,B,40,27,Male,101299,11.525831818519737,0.7142857142857143,0.5102040816326531,false,true,true,false
Prof,B,38,38,Male,231545,12.352529518067461,0.6785714285714286,0.46045918367346944,false,true,true,false
Prof,B,19,19,Male,94384,11.455126846242857,0.3392857142857143,0.11511479591836736,false,true,true,false
Prof,B,25,15,Male,114778,11.650755106872104,0.44642857142857145,0.1992984693877551,false,true,true,false
Prof,B,40,28,Male,98193,11.494690208706073,0.7142857142857143,0.5102040816326531,false,true,true,false
Prof,B,23,19,Female,151768,11.930108318032381,0.4107142857142857,0.1686862244897959,false,true,false,false
Prof,B,25,25,Female,140096,11.850083180882535,0.44642857142857145,0.1992984693877551,false,true,false,false
AsstProf,B,1,1,Male,70768,11.167162200108107,0.017857142857142856,0.00031887755102040814,false,false,true,false
Prof,B,28,28,Male,126621,11.748953651713432,0.5,0.25,false,true,true,false
Prof,B,12,11,Male,108875,11.597955714154804,0.21428571428571427,0.04591836734693877,false,true,true,false
