"","date","KPIF","reporate"
"1",1995-01-01,2.8,7.6
"2",1995-02-01,2.8,7.7075
"3",1995-03-01,2.8,8.0696
"4",1995-04-01,2.9,8.3361
"5",1995-05-01,2.9,8.41
"6",1995-06-01,2.7,8.6225
"7",1995-07-01,2.6,8.8862
"8",1995-08-01,2.5,8.91
"9",1995-09-01,2.3,8.91
"10",1995-10-01,2.5,8.91
"11",1995-11-01,2.6,8.91
"12",1995-12-01,2.5,8.91
"13",1996-01-01,1.8,8.7186
"14",1996-02-01,1.6,8.3405
"15",1996-03-01,1.8,7.7548
"16",1996-04-01,1.6,7.15
"17",1996-05-01,1.5,6.67
"18",1996-06-01,1.3,6.2474
"19",1996-07-01,1.3,5.8152
"20",1996-08-01,1,5.4409
"21",1996-09-01,0.9,5.1643
"22",1996-10-01,0.8,4.9239
"23",1996-11-01,0.7,4.5643
"24",1996-12-01,1,4.2528
"25",1997-01-01,1.2,4.1
"26",1997-02-01,1,4.1
"27",1997-03-01,1,4.1
"28",1997-04-01,1.1,4.1
"29",1997-05-01,1.2,4.1
"30",1997-06-01,1.7,4.1
"31",1997-07-01,1.7,4.1
"32",1997-08-01,2.2,4.1
"33",1997-09-01,2.5,4.1
"34",1997-10-01,2.5,4.1
"35",1997-11-01,2.5,4.1
"36",1997-12-01,2.5,4.2053
"37",1998-01-01,1.9,4.35
"38",1998-02-01,1.8,4.35
"39",1998-03-01,1.5,4.35
"40",1998-04-01,1.3,4.35
"41",1998-05-01,1.5,4.35
"42",1998-06-01,1.2,4.1625
"43",1998-07-01,1.1,4.1
"44",1998-08-01,0.6,4.1
"45",1998-09-01,0,4.1
"46",1998-10-01,0.1,4.1
"47",1998-11-01,0.1,3.8262
"48",1998-12-01,0,3.51
"49",1999-01-01,0.7,3.4
"50",1999-02-01,0.8,3.3
"51",1999-03-01,1.1,3.1391
"52",1999-04-01,1.1,2.9
"53",1999-05-01,1.1,2.9
"54",1999-06-01,1.4,2.9
"55",1999-07-01,1.2,2.9
"56",1999-08-01,1.6,2.9
"57",1999-09-01,1.9,2.9
"58",1999-10-01,1.8,2.9
"59",1999-11-01,1.7,3.0591
"60",1999-12-01,2,3.25
"61",2000-01-01,1,3.25
"62",2000-02-01,1.3,3.6071
"63",2000-03-01,1.3,3.75
"64",2000-04-01,0.9,3.75
"65",2000-05-01,1.1,3.75
"66",2000-06-01,0.9,3.75
"67",2000-07-01,0.9,3.75
"68",2000-08-01,0.9,3.75
"69",2000-09-01,0.9,3.75
"70",2000-10-01,1,3.75
"71",2000-11-01,1.3,3.75
"72",2000-12-01,1,3.8947
"73",2001-01-01,1.5,4
"74",2001-02-01,1.5,4
"75",2001-03-01,1.8,4
"76",2001-04-01,2.7,4
"77",2001-05-01,2.9,4
"78",2001-06-01,2.8,4
"79",2001-07-01,2.7,4.1705
"80",2001-08-01,2.8,4.25
"81",2001-09-01,2.9,4.05
"82",2001-10-01,2.6,3.75
"83",2001-11-01,2.6,3.75
"84",2001-12-01,2.8,3.75
"85",2002-01-01,2.9,3.75
"86",2002-02-01,2.8,3.75
"87",2002-03-01,2.9,3.8375
"88",2002-04-01,2.3,4
"89",2002-05-01,1.8,4.25
"90",2002-06-01,1.8,4.25
"91",2002-07-01,2,4.25
"92",2002-08-01,1.9,4.25
"93",2002-09-01,1.8,4.25
"94",2002-10-01,2.2,4.25
"95",2002-11-01,1.9,4.1548
"96",2002-12-01,2.2,3.8472
"97",2003-01-01,2.8,3.75
"98",2003-02-01,3.4,3.75
"99",2003-03-01,3.1,3.6429
"100",2003-04-01,2.5,3.5
"101",2003-05-01,2.2,3.5
"102",2003-06-01,2.3,3.1579
"103",2003-07-01,2.5,2.8152
"104",2003-08-01,2.4,2.75
"105",2003-09-01,2.4,2.75
"106",2003-10-01,2.1,2.75
"107",2003-11-01,2.1,2.75
"108",2003-12-01,1.9,2.75
"109",2004-01-01,1.3,2.75
"110",2004-02-01,0.3,2.5875
"111",2004-03-01,0.6,2.5
"112",2004-04-01,1.1,2.1
"113",2004-05-01,1.5,2
"114",2004-06-01,1.2,2
"115",2004-07-01,1.3,2
"116",2004-08-01,1.2,2
"117",2004-09-01,1.2,2
"118",2004-10-01,1.4,2
"119",2004-11-01,1.1,2
"120",2004-12-01,1,2
"121",2005-01-01,0.8,2
"122",2005-02-01,1.4,2
